Timestamp,Gender?,Age?,Name of the company you are currently working on (if you want to disclose),For how many years have you coded professionally?,What is your current role?,Which of the following software development methodologies do you follow?,Which of the followings do you use for requirements gathering?,"On which software development activities, do you spend most of the time? ",Which of the following technologies do you have experience working in?,What is the primary operating system you are developing on?,Which programming languages are you using?,Which frameworks are you using?,Which IDE are you using?,What types of software testing practices do you use?,What is the level of automated testing in your projects?,Which tools do you use for testing and quality assurance?,Which tools do you use for continous deployment?,Which version control tool do you use?,What are your expectations from the manager?,Are you involved in any R&D projects?,How do you ensure scalability of your products?,How do you maintain performance of your products?,How do you ensure security of your products?,What are your expectations from the employees?,What are your expectations from the potential candidates?,What are your expectations from the universities?,What are your expectations from the Government?,What kind of training facilities do you provide for the employees ?
2019/01/07 11:13:37 AM GMT+6,Male,24,,less than 2,Developer,Agile;Scrum,Plain Text;Story board,Requirement Analysis;Implementation,Web,Windows,JavaScript;C#,ASP. NET,Visual Studio,Unit testing;GUI testing;Functional testing;Performance testing,3,"XUnit ( eg, JUnit, NUnit )",TeamCity;Octopus,Git;BitBucket,,,,,,,,,,
2019/01/07 11:14:39 AM GMT+6,Male,26,Tiger It,2 to 5,Developer,not defined,Use Case,Implementation,Web,Linux,C/C++;Python;JavaScript,lacewing,clion,none,5,nonw,none,git lab,defined instructions,yes. face recognition,using better codes and better data structures,using better codes and better servers,network blocking and common security measures,,,,,
2019/01/07 11:23:28 AM GMT+6,Female,25,,less than 2,Developer,Agile,,Project Planning;Requirement Analysis;Program Design,Web,Linux,Python;JavaScript,Django,PyCharm,Unit testing;User acceptance testing,2,JenKins,AWS codeDeploy,Git,,,,,,,,,,
2019/01/07 11:23:50 AM GMT+6,Male,24,Grameenphone,2 to 5,Developer,Agile,Plain Text,Implementation,Web,Linux,JavaScript,Nodejs,Visual Studio,User acceptance testing,5,,,Git,,,,,,,,,,
2019/01/07 11:30:37 AM GMT+6,Male,32,TopOfStack Software Ltd.,5 to 10,"High level management ( CEO, CIO, CFO )",Agile,Plain Text,Requirement Analysis;Keeping communication and bargain with typical local clients,Web;Mobile,"iOS, Android,","Java;JavaScript;PHP;Objective C, NodeJs, ",Laravel,"Android Studio, xCode, phpstorm",User acceptance testing;GUI testing;Functional testing;Performance testing,3,,,Git,,Yes.,,Yes.,Both client and server side.,To be precise with requirements,"Enthusiastic, Self-learner, Team player.",Concentrate on applied science with theory. Change syllabus based on current trend each year. Apply internship to relevant organisations.,"Proper maintenance with previous projects and follow up. Plan next years with long vision through solid IT-specialists. Distribute projects based on skills than links. Remove bureaucratic process for small companies to contribute more for country. 
 ",Run time training through small scale project and supervision of seniors.
2019/01/07 11:30:58 AM GMT+6,Male,32,Cefalo Bangladesh Ltd,more than 10,Developer,Scrum,Use Case;Grooming seasons;Story board,Project Planning;Requirement Analysis;Program Design;Implementation,Web;Mobile;Desktop,Windows,C#,ASP. NET,Visual Studio,Unit testing;User acceptance testing;Functional testing;Performance testing,1,Jmeter,Azure DevOps,Git;BitBucket;Mercurial,,,,,,,,,,
2019/01/07 11:38:39 AM GMT+6,Male,24,,less than 2,Developer,Agile,GUI prototype,Implementation,Web;Mobile;Desktop,Windows,Java;Python;PHP,Django,PyCharm,Unit testing;GUI testing;Functional testing,5,Selenium,,Git,Pay Raise,Yes,,,,Team Work,Problem Solving skill,"More Professional atmosphere to develop, like maintaining VCS, Testing ",BCS Govt Job,
2019/01/07 11:51:07 AM GMT+6,Male,26,Reve Systems,less than 2,Developer,Agile,Plain Text,Requirement Analysis;Program Design;Implementation;Maintenance,Web;Mobile,Windows,Java;JavaScript,Spring boot,Eclipse,User acceptance testing;Functional testing;Performance testing,5,none,none,Git,"1. Strong grasp on the requirements before assigning me to a project
2. Maintain informed and feasible deadlines",Yes,Following certain design patterns,"1. User feedback
2. Performance monitoring tools",1. Spring Security,,,,,
2019/01/07 11:57:25 AM GMT+6,Male,26,Pathao,2 to 5,Developer,Scrum,GUI prototype;Grooming seasons;Story board,Project Planning;Implementation,Mobile,MacOS,Java,Android,Android Studio,User acceptance testing;Functional testing,5,,,Git;BitBucket,To supervise and to advise to follow specific career plan,Yes,,,,,,,,
2019/01/07 12:10:38 PM GMT+6,Male,29,iPay Systems Limited,5 to 10,Developer,Agile,Plain Text;Use Case;GUI prototype;Grooming seasons;Story board,Requirement Analysis;Program Design;Implementation;Testing,Web;Mobile;Embedded /IOT,MacOS,Java,Spring boot,IntelliJ,User acceptance testing;GUI testing;Manual Testing,2,JenKins,Jenkins,BitBucket,Requirement analysis,Yes. I was involved in many RnDs regarding building the system architecture. I had some RnD experience in security as well.,"We follow the micro-service architecture. In a nutshell, we scale up the module vertically which is necessary. We use docker along with Jenkins for automatic deployments and scaling. ","There are automated integration tests for main features. However, the others are mostly tested manually. ","As we are regulated by Bangladesh Bank as a payment processing platform, we need to maintain certain security compliance which cannot be disclosed here. The security compliance is similar to the PCI DSS compliance which I can say. ",Clean code which creates less error. Coming up with optimization proposals on features developed earlier. Documentation in a timely manner.,I am assuming that the potential candidates refer to the freshers in this question. I expect freshers to be very good with problem solving with strong analytical ability. Good university projects are plus.,Create opportunities to work with industry solving the problems we are facing in the industry. Sometimes we are so busy with developing features that we lack the opportunity to run some researches about our tasks. University projects can be subjected to solve the industry problems which can be funded by the software companies as well.,Issuing research funds to the universities to run researches. Government should emphasize in automation in every possible sector.,"Holidays, Free/Subsidized lunch & breakfast, yearly bonus."
2019/01/07 12:23:17 PM GMT+6,Male,23,iPay,less than 2,Developer,Waterfall,,Implementation,Web,MacOS,JavaScript,angularjs,webstorm,GUI testing,5,,,BitBucket,,,,,,,,,,
2019/01/07 12:23:59 PM GMT+6,Male,26,Ridmik Labs,less than 2,Developer,Agile,GUI prototype;Story board,Program Design;Implementation;Documentation,Web;Mobile;Desktop,Ubuntu,Java;Python;JavaScript;C#,Spring boot,IntelliJ,GUI testing;Functional testing,5,,,Git,Responsible attitude,No,AWS,User feedback,"PA-DSSs, p2pe",,,,,
2019/01/07 12:39:17 PM GMT+6,Male,25,D Money Bangladesh Limited,less than 2,Developer,Agile;Scrum,Plain Text;Use Case,Implementation;Documentation,Web;Mobile,MacOS,Java;Angular 6,"Android, Ionic",Android Studio,Unit testing;Performance testing;Integration Testing,4,JenKins,,Git,,,,,,,,,,
2019/01/07 12:44:23 PM GMT+6,Male,,Therap Services,2 to 5,Testing Automation,Agile,Plain Text;GUI prototype,Program Design;Testing;Maintenance,Web;Mobile,Windows,Java;Python;Ruby,"Cucmber, TestNG, Appium, Watir, Selenium","RubyMine, PyCharm, IntelliJ","User acceptance testing;GUI testing;Functional testing;Performance testing;Load testing, Security testing",2,Selenium,Bamboo,Git;BitBucket,Should be technically active,yes,following flexible framework which allows better scalability,regular rechecking/running of automation scripts as a automation tester,by doing security/penetration testing,,,,,
2019/01/07 12:45:16 PM GMT+6,Female,,,2 to 5,Developer,Agile;Pair Programming;Scrum;Extreme Programming,Grooming seasons;Story board,Program Design;Implementation;Testing,Desktop,Windows,Java;JavaScript,,NetBeans,User acceptance testing;GUI testing;Functional testing;Performance testing,5,,,Git,"I would expect the manager to delegate the requirements after complete research on the design and approach of the implementation. Developers should not be expected to do multiple tasks at the same time. They work to develop the product and ensure it fits the requirements, but not research on the requirements to keep performing the iterative tasks until the user is satisfied. ",Yes,"Besides scaling horizontally, database scaling is performed by partitioning tables, along with multi-threaded implementations.","The code quality is assessed by the different team members during code review, followed by designing new ways to solve issues in the product that are time-intensive.","As our product is still under development, no thought has gone into security of the product yet.",,,,,
2019/01/07 12:49:26 PM GMT+6,Male,23,,less than 2,Developer,Agile;Waterfall,Use Case;Grooming seasons;Story board,Requirement Analysis;Program Design;Implementation,Web;Mobile;Desktop,MacOS,"Java;Python;JavaScript;Swift, Objective C",Django,PyCharm,User acceptance testing,5,Selenium,,Git,understand the difficulty of the task I am performing,Yes,Coding efficiently,Coding efficiently,Coding efficiently,,,,,
